year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
"2002","ARGENTINA","AR","12 DE OCTUBRE","AR-22036","CHACO","AR-22","8773.568263458274"
"2002","ARGENTINA","AR","1º DE MAYO","AR-22126","CHACO","AR-22","48.674350529909134"
"2002","ARGENTINA","AR","25 DE MAYO","AR-22168","CHACO","AR-22","139.22731280189518"
"2002","ARGENTINA","AR","2 DE ABRIL","AR-22039","CHACO","AR-22","1432.1776641356303"
"2002","ARGENTINA","AR","9 DE JULIO","AR-22105","CHACO","AR-22","4864.9412463659455"
"2002","ARGENTINA","AR","9 DE JULIO","AR-82077","SANTA FE","AR-82","7751.489490268161"
"2002","ARGENTINA","AR","AGUIRRE","AR-86007","SANTIAGO DEL ESTERO","AR-86","7272.950214594019"
"2002","ARGENTINA","AR","ALBERDI","AR-86014","SANTIAGO DEL ESTERO","AR-86","23954.26312544331"
"2002","ARGENTINA","AR","ALMIRANTE BROWN","AR-22007","CHACO","AR-22","23412.524022257763"
"2002","ARGENTINA","AR","AMBATO","AR-10007","CATAMARCA","AR-10","0.31728488206863403"
"2002","ARGENTINA","AR","ANCASTI","AR-10014","CATAMARCA","AR-10","30.092577911767307"
"2002","ARGENTINA","AR","ANTA","AR-66007","SALTA","AR-66","25449.90197153857"
"2002","ARGENTINA","AR","ATAMISQUI","AR-86021","SANTIAGO DEL ESTERO","AR-86","434.497769158056"
"2002","ARGENTINA","AR","AVELLANEDA","AR-86028","SANTIAGO DEL ESTERO","AR-86","1692.3805210647333"
"2002","ARGENTINA","AR","AYACUCHO","AR-74007","SAN LUIS","AR-74","2019.4450424082722"
"2002","ARGENTINA","AR","BANDA","AR-86035","SANTIAGO DEL ESTERO","AR-86","2110.411621377135"
"2002","ARGENTINA","AR","BELGRANO","AR-74014","SAN LUIS","AR-74","1849.868999546474"
"2002","ARGENTINA","AR","BELGRANO","AR-86042","SANTIAGO DEL ESTERO","AR-86","6892.887622713605"
"2002","ARGENTINA","AR","BERMEJO","AR-22014","CHACO","AR-22","255.20695958266072"
"2002","ARGENTINA","AR","BERMEJO","AR-34007","FORMOSA","AR-34","1647.1720233840686"
"2002","ARGENTINA","AR","CALAMUCHITA","AR-14007","CORDOBA","AR-14","119.84147460013628"
"2002","ARGENTINA","AR","CAPAYAN","AR-10042","CATAMARCA","AR-10","314.10942263918764"
"2002","ARGENTINA","AR","CAPITAL","AR-10049","CATAMARCA","AR-10","15.690079115331173"
"2002","ARGENTINA","AR","CAPITAL","AR-18021","CORRIENTES","AR-18","102.08042704912961"
"2002","ARGENTINA","AR","CAPITAL","AR-46014","LA RIOJA","AR-46","570.7575625404716"
"2002","ARGENTINA","AR","CAPITAL","AR-86049","SANTIAGO DEL ESTERO","AR-86","3491.866111016536"
"2002","ARGENTINA","AR","CERRILLOS","AR-66035","SALTA","AR-66","20.136342987418175"
"2002","ARGENTINA","AR","CHACABUCO","AR-22028","CHACO","AR-22","3521.273263143617"
"2002","ARGENTINA","AR","CHACABUCO","AR-74028","SAN LUIS","AR-74","544.3128207157932"
"2002","ARGENTINA","AR","CHAMICAL","AR-46035","LA RIOJA","AR-46","203.89967916160822"
"2002","ARGENTINA","AR","CHOYA","AR-86063","SANTIAGO DEL ESTERO","AR-86","6759.869480338459"
"2002","ARGENTINA","AR","COMANDANTE FERNANDEZ","AR-22021","CHACO","AR-22","458.98006383978264"
"2002","ARGENTINA","AR","COPO","AR-86056","SANTIAGO DEL ESTERO","AR-86","3751.0664442809475"
"2002","ARGENTINA","AR","CRUZ ALTA","AR-90014","TUCUMAN","AR-90","406.7282918109613"
"2002","ARGENTINA","AR","CRUZ DEL EJE","AR-14028","CORDOBA","AR-14","1558.9988703900985"
"2002","ARGENTINA","AR","EL ALTO","AR-10056","CATAMARCA","AR-10","838.350018462568"
"2002","ARGENTINA","AR","FIGUEROA","AR-86070","SANTIAGO DEL ESTERO","AR-86","1568.1951870249472"
"2002","ARGENTINA","AR","FORMOSA","AR-34014","FORMOSA","AR-34","193.75858756899834"
"2002","ARGENTINA","AR","FRAY JUSTO SANTA MARIA DE ORO","AR-22043","CHACO","AR-22","1213.3116262387116"
"2002","ARGENTINA","AR","FRAY MAMERTO ESQUIU","AR-10063","CATAMARCA","AR-10","1.4986783266067505"
"2002","ARGENTINA","AR","GENERAL ANGEL V. PENALOZA","AR-46056","LA RIOJA","AR-46","34.014793418347836"
"2002","ARGENTINA","AR","GENERAL BELGRANO","AR-22049","CHACO","AR-22","2194.682139075153"
"2002","ARGENTINA","AR","GENERAL BELGRANO","AR-46063","LA RIOJA","AR-46","230.68881656229496"
"2002","ARGENTINA","AR","GENERAL DONOVAN","AR-22056","CHACO","AR-22","91.09392807387255"
"2002","ARGENTINA","AR","GENERAL GUEMES","AR-22063","CHACO","AR-22","2365.4850245809143"
"2002","ARGENTINA","AR","GENERAL GUEMES","AR-66049","SALTA","AR-66","413.22189356868756"
"2002","ARGENTINA","AR","GENERAL JOSE DE SAN MARTIN","AR-66056","SALTA","AR-66","8482.746281166872"
"2002","ARGENTINA","AR","GENERAL JUAN F. QUIROGA","AR-46070","LA RIOJA","AR-46","25.085717014559343"
"2002","ARGENTINA","AR","GENERAL OBLIGADO","AR-82049","SANTA FE","AR-82","3015.581350425557"
"2002","ARGENTINA","AR","GENERAL OCAMPO","AR-46084","LA RIOJA","AR-46","464.11823410383045"
"2002","ARGENTINA","AR","GENERAL SAN MARTIN","AR-46091","LA RIOJA","AR-46","740.7406833716467"
"2002","ARGENTINA","AR","GENERAL TABOADA","AR-86077","SANTIAGO DEL ESTERO","AR-86","14783.717642757765"
"2002","ARGENTINA","AR","GRANEROS","AR-90035","TUCUMAN","AR-90","737.1483505843024"
"2002","ARGENTINA","AR","GUASAYAN","AR-86084","SANTIAGO DEL ESTERO","AR-86","5086.382932571424"
"2002","ARGENTINA","AR","INDEPENDENCIA","AR-22070","CHACO","AR-22","4811.985662040553"
"2002","ARGENTINA","AR","ISCHILIN","AR-14049","CORDOBA","AR-14","7542.256049045249"
"2002","ARGENTINA","AR","JIMENEZ","AR-86091","SANTIAGO DEL ESTERO","AR-86","8334.090764673289"
"2002","ARGENTINA","AR","JUAN B. ALBERDI","AR-90042","TUCUMAN","AR-90","2.145160086452961"
"2002","ARGENTINA","AR","JUAN F. IBARRA","AR-86098","SANTIAGO DEL ESTERO","AR-86","15913.100138974949"
"2002","ARGENTINA","AR","JUNIN","AR-74049","SAN LUIS","AR-74","554.2369689724901"
"2002","ARGENTINA","AR","LA CANDELARIA","AR-66084","SALTA","AR-66","561.5296081629454"
"2002","ARGENTINA","AR","LA COCHA","AR-90049","TUCUMAN","AR-90","200.2351664163026"
"2002","ARGENTINA","AR","LAISHI","AR-34021","FORMOSA","AR-34","336.5728439147274"
"2002","ARGENTINA","AR","LA PAZ","AR-10070","CATAMARCA","AR-10","10633.748063220843"
"2002","ARGENTINA","AR","LA VINA","AR-66098","SALTA","AR-66","18.29708745330572"
"2002","ARGENTINA","AR","LEALES","AR-90056","TUCUMAN","AR-90","2468.217865787242"
"2002","ARGENTINA","AR","LIBERTAD","AR-22077","CHACO","AR-22","433.54036563456634"
"2002","ARGENTINA","AR","LIBERTADOR GENERAL SAN MARTIN","AR-22084","CHACO","AR-22","718.5648012586084"
"2002","ARGENTINA","AR","LIBERTADOR GENERAL SAN MARTIN","AR-74063","SAN LUIS","AR-74","612.3671678501894"
"2002","ARGENTINA","AR","LORETO","AR-86105","SANTIAGO DEL ESTERO","AR-86","649.2145355956812"
