Id,period,POINT_X,POINT_Y,Region,WoodCover,WLrate,WoodLoss,ConsFund,ConsFund_cumm,ConsFund_r,pct_PA,PA_change,WoodChange,WoodCover_270,WoodLoss_270,pct_PA_270,PA_change_270,WoodCover_540,WoodLoss_540,pct_PA_540,PA_change_540,ConsFund_diff
110,3,-398074.4047,48698.69495,Chaco,0.149266631,0.009219234,0.005607249,0,0.677201264,0,0,0,-0.005607249,0.149266631,0.005607249,0,0,0.276924405,0.021904748,0.141431444,0.029558932,-0.677201264
110,4,-398074.4047,48698.69495,Chaco,0.14469467,0.007777096,0.004571962,0.002729846,0.677776723,0.00016907,0,0,-0.004571962,0.14469467,0.004571962,0,0,0.238403535,0.038520871,0.144932717,0.003501273,0.002729846
110,5,-398074.4047,48698.69495,Chaco,0.139191045,0.009694596,0.005503625,0.810891399,1.009946491,0.07156749,0.077597535,0.077597535,-0.005503625,0.139191045,0.005503625,0.077597535,0.077597535,0.209953674,0.028449861,0.151115377,0.00618266,0.808161553
110,6,-398074.4047,48698.69495,Chaco,0.137022601,0.003925382,0.002168443,0.604713486,1.12241851,0.012075107,0.077597535,0,-0.002168443,0.137022601,0.002168443,0.077597535,0,0.202702747,0.007250927,0.151115377,0,-0.206177914
110,7,-398074.4047,48698.69495,Chaco,0.136186887,0.001529443,0.000835714,NA,NA,NA,0.077597535,0,-0.000835714,0.136186887,0.000835714,0.077597535,0,0.199113744,0.003589003,0.151115377,0,NA
112,0,501925.5953,48698.69495,Other,0.022981045,NA,NA,NA,NA,NA,0,NA,NA,0.054720342,NA,0,NA,0.075498149,NA,0,NA,NA
112,1,501925.5953,48698.69495,Other,0.025428046,0,0,0,0,0,0,0,0.0012235,0.055403591,0.00099714,0.001339813,0.000669906,0.076559724,0.000695377,0.031215247,0.015607624,NA
112,2,501925.5953,48698.69495,Other,0.024141197,0.012983238,0.001286849,0,0,0,0,0,-0.001286849,0.057829237,0.000346023,0.001339813,0,0.076505953,0.001516675,0.031215247,0,0
112,3,501925.5953,48698.69495,Other,0.026844673,0,0,0,0,0,0,0,0.002703477,0.060053235,0,0.001339813,0,0.07743627,0.000445551,0.031215247,0,0
112,4,501925.5953,48698.69495,Other,0.022648458,0.042493916,0.004196216,0.369899444,0.369899444,0.034618205,0,0,-0.004196216,0.054216224,0.005837012,0.001339813,0,0.07548175,0.00241867,0.031215247,0,0.369899444
112,5,501925.5953,48698.69495,Other,0.024855444,0,0,0.150618518,0.440631548,0.005856858,0,0,0.002206986,0.063986127,2.43E-06,0.001339813,0,0.075764501,0.004143606,0.031215247,0,-0.219280926
112,6,501925.5953,48698.69495,Other,0.030673939,0,0,0.514911929,0.701652591,0.009104934,0,0,0.005818496,0.068999245,0,0.001339813,0,0.078320667,0.001863233,0.031215247,0,0.364293411
112,7,501925.5953,48698.69495,Other,0.028036193,0.022479279,0.002637746,NA,NA,NA,0,0,-0.002637746,0.06812293,0.003019141,0.001339813,0,0.079936541,0.001046697,0.031215247,0,NA
115,0,591925.5953,48698.69495,Other,0.116889876,NA,NA,NA,NA,NA,0,NA,NA,0.054720342,NA,0,NA,0.075498149,NA,0,NA,NA
115,1,591925.5953,48698.69495,Other,0.125152994,0,0,0,0,0,0,0,0.004131559,0.055403591,0.00099714,0.001339813,0.000669906,0.076559724,0.000695377,0.031215247,0.015607624,NA
115,2,591925.5953,48698.69495,Other,0.128630377,0,0,0,0,0,0,0,0.003477383,0.057829237,0.000346023,0.001339813,0,0.076505953,0.001516675,0.031215247,0,0
115,3,591925.5953,48698.69495,Other,0.130989109,0,0,0,0,0,0,0,0.002358732,0.060053235,0,0.001339813,0,0.07743627,0.000445551,0.031215247,0,0
115,4,591925.5953,48698.69495,Other,0.118036391,0.0260303,0.012952717,0.369899444,0.369899444,0.034618205,0,0,-0.012952717,0.054216224,0.005837012,0.001339813,0,0.07548175,0.00241867,0.031215247,0,0.369899444
115,5,591925.5953,48698.69495,Other,0.145303744,0,0,0.150618518,0.440631548,0.005856858,0,0,0.027267353,0.063986127,2.43E-06,0.001339813,0,0.075764501,0.004143606,0.031215247,0,-0.219280926
115,6,591925.5953,48698.69495,Other,0.152233376,0,0,0.528003002,0.710213289,0.009501804,0,0,0.006929632,0.068999245,0,0.001339813,0,0.078320667,0.001863233,0.031215247,0,0.377384484
115,7,591925.5953,48698.69495,Other,0.142794558,0.016001944,0.009438818,NA,NA,NA,0,0,-0.009438818,0.06812293,0.003019141,0.001339813,0,0.079936541,0.001046697,0.031215247,0,NA
118,0,681925.5953,48698.69495,Other,0.305025709,NA,NA,NA,NA,NA,0,NA,NA,0.15664156,NA,0,NA,0.246893923,NA,0,NA,NA
118,1,681925.5953,48698.69495,Other,0.305081461,0,0,0,0,0,0,0,2.79E-05,0.155760468,0.000454484,0,0,0.238937041,0.005295523,0,0,NA
118,2,681925.5953,48698.69495,Other,0.410600472,0,0,0,0,0,0,0,0.105519011,0.208566141,0,0,0,0.249254135,0.003609252,6.57E-06,6.57E-06,0
